,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19
ENSG00000204219.11,0.15286016,-0.08263929,-0.1633382,0.009707252,0.009050157,0.11490614,-0.014326367,0.03831212,-0.021065084,0.020705773,0.09235091,0.01949854,0.11538318,-0.008179594,0.08557197,-0.096011214,0.036354303,-0.0029615564,-0.12678555,0.23959468
ENSG00000117318.9,0.07425739,0.09063735,0.01969035,-0.06849135,0.1586443,-0.10107813,0.0502476,-0.1347699,0.08742325,-0.2648988,-0.07826093,-0.1426913,0.17061594,0.13929144,0.053825032,0.00243217,0.053838383,-0.24407285,0.038760096,-0.19960648
ENSG00000011007.12,-0.034338955,0.073553056,-0.06180159,0.009156254,0.024821395,-0.07281485,0.06229508,0.08757475,0.13140188,-0.058957715,-0.0023852591,0.1126396,0.105544984,-0.017093757,0.033453513,0.037014913,-0.16832148,-0.0063359584,-0.1011342,0.006976034
ENSG00000117308.15,-0.041871216,0.016086731,-0.07570413,0.08289324,-0.014448913,-0.071243145,-0.003293487,-0.12386174,-0.07060525,-0.039576314,-0.0039420957,-0.017631669,-0.09127251,0.03662005,0.0039895065,-0.0041272184,0.16058293,0.07959965,-0.024808474,0.047336377
ENSG00000179163.12,-0.06325071,-0.085652724,-0.020778043,0.012762395,-0.025786849,-0.074396245,0.06664613,0.111094154,-0.018495359,-0.037885744,0.029185047,0.02332088,0.04908224,0.093491495,-0.024091223,-0.104638144,0.044261772,-0.016872196,0.056886632,0.10376726
ENSG00000188529.15,-0.02517492,-0.05362972,0.0271581,0.08938113,-0.028138632,-0.09815884,0.04591168,0.037548307,-0.036603954,-0.11229284,-0.14533709,-0.032831587,-0.15839683,-0.07475278,0.0039828205,0.08950485,0.060400426,0.04305079,0.0974323,0.04970059
ENSG00000142677.4,-0.03236055,0.05121872,0.0075053875,-0.10237296,-0.036553398,-0.029843515,0.006182136,0.08991427,0.0023467096,-0.06758901,-0.014384848,-0.05844455,0.09806757,-0.02723212,0.0676912,0.089454934,-0.016399901,0.014864279,-0.08068147,0.088731304
ENSG00000185436.12,-0.07109143,-0.044169143,0.080537274,0.029640742,0.015226549,-0.053800955,-0.033565253,0.035935573,0.045282423,0.007494897,0.08675856,0.04394614,-0.013933126,0.017607264,0.03351743,-0.0047402815,-0.022733249,0.017778847,-0.020706763,0.09924029
ENSG00000001461.17,0.01179662,-0.03878727,0.015948832,0.044471532,0.042181194,0.098601006,-0.10597778,0.025054773,0.032003902,0.03341919,0.059454508,-0.0038652404,0.024636842,-0.027110076,0.10623521,-0.04974287,-0.122402,-0.070042804,0.0719112,0.0896447
ENSG00000117616.18,-0.042040754,0.017683519,-0.033849366,-0.07173414,-0.10349344,0.1274652,-0.021303182,-0.04396132,0.036385357,-0.009000444,-0.016301002,0.050849907,-0.01203994,0.11219702,-0.011329235,0.0058286777,-0.15920573,0.0077223973,-0.00096592156,-0.02410293
