"","gene_id","gene_name","logFC_MetastasisNodoLinfático_vs_TumorPrimario","logCPM_MetastasisNodoLinfático_vs_TumorPrimario","F_MetastasisNodoLinfático_vs_TumorPrimario","pvalue_MetastasisNodoLinfático_vs_TumorPrimario","FDR_MetastasisNodoLinfático_vs_TumorPrimario"
"ENSG00000178852.16","ENSG00000178852.16","EFCAB13",-3.44434923598446,1.13556279701981,11.276552722843,0.00146679583658612,0.402275948359413
"ENSG00000154269.15","ENSG00000154269.15","ENPP3",-4.6617542781784,3.40946549454285,11.0345419125813,0.00163197942146971,0.438971080155707
"ENSG00000185989.11","ENSG00000185989.11","RASA3",4.20645793084695,1.77520739621118,10.91796172135,0.00173168638171341,0.451859310627496
"ENSG00000139567.13","ENSG00000139567.13","ACVRL1",-3.60969525524462,2.477658090216,10.91452796752,0.00174450581067311,0.451859310627496
"ENSG00000177675.9","ENSG00000177675.9","CD163L1",3.47048369224672,2.94276873002273,10.7348371829384,0.00185329521921672,0.470907305813909
"ENSG00000153291.16","ENSG00000153291.16","SLC25A27",5.72913161429535,1.40570846489817,10.7565201723861,0.0018853799331936,0.470907305813909
"ENSG00000169621.10","ENSG00000169621.10","APLF",-4.5696122269756,2.42785873505944,10.5927849861224,0.00198484882712633,0.487054044649404
"ENSG00000134193.15","ENSG00000134193.15","REG4",-5.23722300164867,4.55086603870704,10.3734627033966,0.0022129157747515,0.520688681683941
"ENSG00000170745.12","ENSG00000170745.12","KCNS3",-4.41188752500384,3.01229267853713,10.319916383252,0.00223359697583731,0.520688681683941
"ENSG00000143248.13","ENSG00000143248.13","RGS5",-4.61656781498183,2.27653067607325,10.2103232488363,0.00234970547257622,0.534145996128795
"ENSG00000167618.10","ENSG00000167618.10","LAIR2",-4.68850537969809,3.24715051844783,10.2307436336787,0.00236770227782836,0.534145996128795
"ENSG00000140279.13","ENSG00000140279.13","DUOX2",-3.73463351036578,5.09803462398983,10.1371015599951,0.00244138212651035,0.542025584182543
"ENSG00000150893.11","ENSG00000150893.11","FREM2",4.4149899194971,2.45333026723793,10.0844195609371,0.0025301533832161,0.552957115172556
"ENSG00000268996.3","ENSG00000268996.3","MAN1B1-DT",3.68170410964018,1.76359645772564,9.93916721031654,0.00264348326126787,0.568836928851595
"ENSG00000177984.7","ENSG00000177984.7","LCN15",-3.17066647295798,10.03971458819,9.83922431114132,0.00279408900625864,0.592135195917267
"ENSG00000242207.1","ENSG00000242207.1","HOXB-AS4",-4.24909908776874,1.82156430364439,9.55205506858571,0.00323187719222922,0.642464746316532
"ENSG00000151062.15","ENSG00000151062.15","CACNA2D4",-3.22048576117926,1.05268704919714,9.5150451022376,0.00323857582358536,0.642464746316532
"ENSG00000125144.14","ENSG00000125144.14","MT1G",-3.34371097846428,6.59902286261651,9.51391876005467,0.00326934208819339,0.642464746316532
"ENSG00000140451.13","ENSG00000140451.13","PIF1",-3.44645546183951,1.35397068461926,9.47901175936611,0.00330717535817476,0.642464746316532
"ENSG00000164972.13","ENSG00000164972.13","C9orf24",-4.23859138308474,1.51311251855185,9.30999544613667,0.00360413261076826,0.670473175391684
"ENSG00000168955.4","ENSG00000168955.4","TM4SF20",-4.08309707271947,5.26270907687211,9.28872341844673,0.00361984439726637,0.670473175391684
"ENSG00000235501.6","ENSG00000235501.6","CNN3-DT",-3.6409475582642,1.42468766300377,9.28560389015568,0.00366372477658166,0.670473175391684
"ENSG00000114268.12","ENSG00000114268.12","PFKFB4",-3.02975340889356,1.12811819856326,9.20569642607373,0.00375390710044698,0.670473175391684
"ENSG00000278376.1","ENSG00000278376.1","RP11-158I9.8",3.09527416834223,6.09915420701282,9.19948276842896,0.00378507437924796,0.670473175391684
"ENSG00000197361.8","ENSG00000197361.8","FBXL22",3.67814499451244,1.78706729309159,9.13641605404522,0.00384012741725152,0.670473175391684
"ENSG00000142765.18","ENSG00000142765.18","SYTL1",-3.03755204694664,1.28759216782731,9.10074375459266,0.0039066808945938,0.670473175391684
"ENSG00000287222.1","ENSG00000287222.1","ABC12-46663800M24.2",3.45691757056746,1.34179829478314,9.06902049039005,0.00396605377503054,0.670473175391684
"ENSG00000288670.1","ENSG00000288670.1","RP11-122G18.14",-4.1519975872966,1.2745790583464,9.06665797316799,0.00400294021355155,0.670473175391684
"ENSG00000162641.20","ENSG00000162641.20","AKNAD1",3.39029310558679,2.15220427393559,9.0362078342504,0.00402435448565488,0.670473175391684
"ENSG00000181045.15","ENSG00000181045.15","SLC26A11",-3.21121801378341,2.0183353960056,9.02276670939415,0.00412529774639694,0.673047094145294
"ENSG00000080200.10","ENSG00000080200.10","CRYBG3",-4.08842544123605,1.78804226999992,8.93752272268489,0.00423227245965784,0.673047094145294
"ENSG00000165359.16","ENSG00000165359.16","INTS6L",-3.8896995277867,1.05936016945566,8.99390466547443,0.00423451378314048,0.673047094145294
"ENSG00000146021.15","ENSG00000146021.15","KLHL3",-3.00984999507252,1.00324010178227,8.7438470411983,0.00466204394621207,0.708782702996394
"ENSG00000106459.15","ENSG00000106459.15","NRF1",-3.36864289476395,2.12693855180273,8.71504827754605,0.00474023508627884,0.712921162922388
"ENSG00000095110.8","ENSG00000095110.8","NXPE1",-3.34441897953861,1.67246929681022,8.64228365455346,0.00487880734639227,0.713616642800497
"ENSG00000134569.10","ENSG00000134569.10","LRP4",-3.24216596137538,3.0681876052084,8.63759425856716,0.00489742923985803,0.713616642800497
"ENSG00000181982.19","ENSG00000181982.19","CCDC149",-3.91463344330807,1.38128138456366,8.65371174826679,0.00489791933286965,0.713616642800497
"ENSG00000225377.6","ENSG00000225377.6","NRSN2-AS1",-2.92068278882541,2.75052285188857,8.46943889996561,0.00527125659337792,0.760093463624504
"ENSG00000160180.17","ENSG00000160180.17","TFF3",-1.21345281430462,10.2630317724852,8.39827459351183,0.00550331151064438,0.776527323950553
"ENSG00000205358.4","ENSG00000205358.4","MT1H",-3.98748357634895,3.49897842371871,8.31337162257799,0.00567589225970809,0.776527323950553
"ENSG00000161055.4","ENSG00000161055.4","SCGB3A1",-7.76286120662179,4.51951396124258,8.34527503352894,0.00569180460797994,0.776527323950553
"ENSG00000138738.11","ENSG00000138738.11","PRDM5",-3.43308905246309,1.14893827420387,8.29541685522831,0.00575584859926437,0.776527323950553
"ENSG00000205364.4","ENSG00000205364.4","MT1M",-3.68903120279906,1.4383112176637,8.26666593142435,0.00578253897611859,0.776527323950553
