"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",199,-0.242051202573783,-0.854242154859666,0.874806800618238,1,1,9251,"tags=44%, list=40%, signal=26%","GINS1/NASP/NUP153/TFRC/RAD21/RFC3/SRSF1/AURKA/DEPDC1/DLGAP5/NCAPD2/MCM5/CKS2/EZH2/KIF2C/POLD3/ATAD2/CCNB2/KIF18B/PCNA/GINS4/PRDX4/UNG/SMC4/RBBP7/CENPE/RAD51AP1/USP1/DUT/POP7/KPNA2/PRPS1/MTHFD2/CDCA8/UBE2S/UBE2T/AURKB/TMPO/MKI67/PRIM2/TOP2A/TIPIN/DCLRE1B/MXD3/BUB1B/LIG1/TACC3/BRCA2/POLA2/RACGAP1/CCP110/CENPM/PTTG1/BIRC5/MAD2L1/CDKN2A/BARD1/CDK1/CDCA3/TK1/MCM6/CDC20/NBN/CHEK2/CBX5/SUV39H1/CDKN1B/GINS3/DIAPH3/HMGB3/ORC6/SPAG5/KIF4A/MELK/WDR90/SHMT1/ASF1B/CIT/PLK1/STAG1/SPC24/BRCA1/DSCC1/PLK4/TIMELESS/E2F8/TCF19"
"HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE",187,-0.243179467114024,-0.853396435829591,0.863849765258216,1,1,4163,"tags=17%, list=18%, signal=14%","HOMER2/SLC26A2/TFF1/HR/RAPGEFL1/AGR2/EGR3/SLC22A5/CCN5/PLK4/PAPSS2/PTGER3/HSPA4L/GPER1/KIF20A/LTF/CAV1/TFPI2/CKB/CPE/SEMA3B/ST6GALNAC2/CXCL12/DNAJC12/OPN3/SERPINA5/RPS6KA2/PLAC1/PDZK1/CALCR/HMGCS2/OLFM1"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING",77,0.260656980567792,0.844294002350656,0.828850855745721,1,1,5018,"tags=29%, list=22%, signal=22%","ITGA4/IL1R1/CD38/EBI3/HMOX1/CSF3R/CD36/CSF1/STAT1/CXCL11/IL17RB/IRF9/PTPN2/TYK2/PIM1/CXCL9/STAM2/LTB/CCR1/SOCS1/CD14/STAT2"
"HALLMARK_SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS",95,-0.251305235966893,-0.815758196519576,0.854838709677419,1,1,4849,"tags=29%, list=21%, signal=23%","NF2/CLVS1/NEK2/CCT6B/MAST2/ART3/TOPBP1/ACE/OAZ3/PGS1/DMC1/ACRV1/NCAPH/CHFR/TTK/NOS1/CRISP2/SPATA6/HSPA2/HSPA4L/ZPBP/SCG5/SYCP1/MEP1B/ACRBP/ADCYAP1/TULP2/DDX4"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY",191,0.217978346298617,0.811872476937543,0.962162162162162,1,1,1777,"tags=7%, list=8%, signal=7%","CALB2/CBFA2T3/SLC24A3/DHRS2/TIAM1/SLC19A2/TUBB2B/INHBB/ANXA9/RARA/TFAP2C/WFS1/KLK10/PTGES"
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",180,0.22019384067693,0.805921235038975,0.966292134831461,1,1,3397,"tags=17%, list=15%, signal=15%","CALB2/CLDN6/MAPK11/VWF/VCAN/NEGR1/SPEG/EGFR/SGCE/AMH/KCNH2/ACTA1/CD209/FSCN1/ALOX15B/PECAM1/TRAF1/IRS1/CRAT/PPP2R2C/MMP9/CD86/TNFRSF11B/VAV2/AMIGO2/SLIT2/CDH3/ACTN2/LAMB3/PTPRC/TJP1"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",140,0.219111690488983,0.775511878144724,0.978835978835979,1,1,5161,"tags=26%, list=22%, signal=20%","RGS4/SYNE1/PTPRM/PMP22/HAS2/AGGF1/IRS1/TFPI/NR3C1/VAV2/PIK3CD/SMAD7/ADORA2B/FYN/MAGI2/CAP2/IGF1R/LAMC1/SDC2/CCN1/RND3/TJP1/TOGARAM1/PRDM2/SCN8A/NEK7/PTPN21/TGFBR2/NR1D2/SCAF8/NFIB/BCKDHB/COL11A1/CDC42BPA/AKT3/CDK13"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",48,0.254520474500005,0.751766546753215,0.898765432098765,1,1,6215,"tags=29%, list=27%, signal=21%","GPX3/MPO/LSP1/EGLN2/ERCC2/SBNO2/GLRX2/ATOX1/OXSR1/FTL/NQO1/IPCEF1/HMOX2/NDUFB4"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",111,0.210732779309762,0.718710178123533,0.991780821917808,1,1,7858,"tags=38%, list=34%, signal=25%","IFIT1/ASNS/CHAC1/WFS1/HYOU1/NHP2/TATDN2/EXOC2/DCP2/KHSRP/NOP14/BAG3/ERN1/EIF4EBP1/ATF6/DDX10/TUBB2A/STC2/EDEM1/EIF2AK3/H2AX/EEF2/PAIP1/FUS/CEBPB/YIF1A/DNAJA4/DNAJC3/HSPA5/SSR1/NFYB/NOLC1/DCP1A/RRP9/SDAD1/NPM1/RPS14/SPCS3/EIF2S1/YWHAZ/CNOT6/ATF4"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",199,0.192628109021681,0.717658902184693,0.997183098591549,1,1,9684,"tags=52%, list=42%, signal=30%","MCM2/PSMA2/UBE2E1/PCBP1/NHP2/PSMA6/PSMC4/SSB/NCBP1/AP3S1/CCT4/TRA2B/RPS2/CBX3/HNRNPA3/HNRNPU/EIF2S2/ABCE1/EEF1B2/CANX/ACP1/MCM4/PSMB2/SYNCRIP/TOMM70/YWHAE/HSPE1/TXNL4A/HDGF/CUL1/G3BP1/EIF1AX/NOLC1/RAD23B/SNRPD2/YWHAQ/RRP9/XPO1/RSL1D1/PSMB3/PRPF31/CDK4/NAP1L1/RPL22/PSMA7/ERH/NPM1/ETF1/GOT2/EPRS1/SF3A1/RPL14/GSPT1/DDX18/LSM7/EIF2S1/PSMC6/CCT3/SET/TCP1/TFDP1/FAM120A/TRIM28/EIF4G2/HDDC2/NOP16/U2AF1/VDAC1/HNRNPA2B1/HDAC2/RPLP0/HSP90AB1/LSM2/PSMA4/RPL18/RPS5/SRSF3/RACK1/CTPS1/HSPD1/SERBP1/SNRPD1/SNRPG/CNBP/SNRPB2/RPL6/DDX21/XRCC6/PA2G4/APEX1/PWP1/FBL/RPL34/PPIA/NOP56/VDAC3/PSMD1/CCT5/RNPS1/ILF2/RPS6/COPS5/PSMD8"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",185,-0.201271064505759,-0.705732923001149,0.996875,1,1,6213,"tags=23%, list=27%, signal=17%","NDST1/ERO1A/SLC6A6/ILVBL/RORA/ANKZF1/CDKN1B/WSB1/KDM3A/MAP3K1/KDELR3/PLAC8/IDS/ADM/HEXA/PGM1/TMEM45A/KLHL24/IL6/SELENBP1/PFKP/P4HA1/MT1E/CP/ANGPTL4/AKAP12/CCN5/NDRG1/ENO3/ALDOB/PGF/LXN/CAV1/DTNA/HK2/SRPX/GPC3/PPFIA4/B4GALNT2/PKLR/DCN/GCNT2/IGFBP1"
