"gene_id","gene_name","logFC_Colon.Normal","logCPM_Colon.Normal","PValue_Colon.Normal","FDR_Colon.Normal","logFC_Metastasis.Nodo.Linfático","logCPM_Metastasis.Nodo.Linfático","PValue_Metastasis.Nodo.Linfático","FDR_Metastasis.Nodo.Linfático"
"ENSG00000250215.1","CIR1P2",-2.80996277866058,-1.31007561718291,0.757992313968319,0.943174176121048,-2.6573160917259,-1.71548292372077,0.134973130673062,0.641212611938493
"ENSG00000228716.7","DHFR",0.517171530183729,5.28543516428639,0.757999512402198,0.943174176121048,-0.184863728673799,4.83656331140213,0.775140504475251,1
"ENSG00000253633.2","KB-1980E6.3",-2.80996277866058,-1.2747353734864,0.758012359440182,0.943174176121048,-6.02663389039911,-1.79798407958316,0.0273838943714806,0.398724005498488
"ENSG00000205628.4","LINC01446",-2.80996277866056,-1.10001108798819,0.758125183938517,0.943174176121048,-1.57583621181853,-1.40615035850249,0.253751727454327,0.802444152606613
"ENSG00000196387.10","ZNF140",-2.80996277866059,-1.0692206067385,0.758147232100495,0.943174176121048,1.69570710696258,0.0673327481720745,0.325116008380503,0.861641298049497
"ENSG00000078589.13","P2RY10",0.904772443449902,-1.14175868174465,0.758147846941511,0.943174176121048,NA,NA,NA,NA
"ENSG00000219747.1","RPL32P16",-0.492469825639257,4.66638626660587,0.758160351486091,0.943174176121048,0.086369382718445,4.74663091535126,0.891183011491872,1
"ENSG00000287399.1","CTB-92J24.5",-2.80996277866059,-0.840925658250357,0.758335653684114,0.943336219747711,-3.98147404161881,-1.38185168356282,0.0825949161671392,0.540152335828466
"ENSG00000072952.20","IRAG1",0.919104915514141,-0.804283743620902,0.758428660374675,0.943395878211359,-2.86256586544534,-1.44165367649365,0.0878296652963863,0.549148618741736
"ENSG00000165886.5","UBTD1",-2.80996277204431,-0.466991718344654,0.758716816265377,0.943453474649775,0.0547805794113467,-0.0105366189839855,0.968102103743516,1
"ENSG00000105135.16","ILVBL",0.454696818114177,5.48799597312255,0.7587346256923,0.943453474649775,-0.832018000052129,4.8525380370652,0.178460581870194,0.712392431655729
"ENSG00000050628.20","PTGER3",-2.80996277866058,-0.444218918328303,0.758742680266086,0.943453474649775,-1.89851049531477,-0.939611274725381,0.363994203679001,0.886197797470492
"ENSG00000286042.1","LCAL1",-2.80996277866058,-0.421710475990606,0.758768242110359,0.943453474649775,-0.53567917546655,-0.481451039165144,0.699653603900672,0.992268051027342
"ENSG00000244582.2","RPL21P120",-0.494104627150085,5.0444428457242,0.758864632859307,0.943453474649775,-0.263913136069737,5.15283766139532,0.674624591500079,0.986398955946652
"ENSG00000070601.10","FRMPD1",-2.8099627786392,-0.253994289656572,0.758965033252853,0.943453474649775,-2.3703105900964,-0.633238618722843,0.101786107310661,0.581427741017377
"ENSG00000231414.1","RPL39P15",-0.519074896932176,3.14978876171055,0.758996885172817,0.943453474649775,-0.0376213811589725,3.10685092704933,0.962547898149839,1
"ENSG00000272330.1","AC002044.4",-0.617854936578352,0.736051429106146,0.759071699119055,0.943453474649775,0.477170287516759,0.743329474760636,0.622803318157042,0.978324162667114
"ENSG00000131174.7","COX7B",0.182181143029428,10.0297001409756,0.759080076073851,0.943453474649775,0.106380284504296,9.92244293093847,0.908270063678602,1
"ENSG00000162482.5","AKR7A3",0.461967039764265,5.20921006914914,0.759099246567519,0.943453474649775,0.164652830300302,5.29088906638832,0.804527460699145,1
"ENSG00000090061.17","CCNK",0.719277564911423,0.908747425258539,0.759152539995853,0.943453474649775,2.42305159800973,2.03664985468178,0.0291676248798184,0.404282550930204
