"","gene_id","gene_name","logFC_ColonNormal_vs_TumorPrimario","logCPM_ColonNormal_vs_TumorPrimario","F_ColonNormal_vs_TumorPrimario","pvalue_ColonNormal_vs_TumorPrimario","FDR_ColonNormal_vs_TumorPrimario","logFC_MetastasisHigado_vs_TumorPrimario","logCPM_MetastasisHigado_vs_TumorPrimario","F_MetastasisHigado_vs_TumorPrimario","pvalue_MetastasisHigado_vs_TumorPrimario","FDR_MetastasisHigado_vs_TumorPrimario","logFC_MetastasisNodoLinfático_vs_TumorPrimario","logCPM_MetastasisNodoLinfático_vs_TumorPrimario","F_MetastasisNodoLinfático_vs_TumorPrimario","pvalue_MetastasisNodoLinfático_vs_TumorPrimario","FDR_MetastasisNodoLinfático_vs_TumorPrimario"
"7815","ENSG00000125970.12","RALY",-1.0622846442947,6.331598932092,1.02133099398706,0.320460079329167,0.62845846283764,-0.988938317819657,6.331598932092,0.53596274514564,0.469914724406204,1,-0.272305379848754,6.331598932092,0.0984582682402191,0.755906256841409,1
"7816","ENSG00000181031.16","RPH3AL",-1.72615735094745,2.87463350590712,1.01852437823393,0.320608178263701,0.628548830998492,1.21728680732314,2.87463350590712,0.312274843636327,0.580264136806676,1,-1.29743032576282,2.87463350590712,1.55194940878619,0.222093024439449,1
"7817","ENSG00000188536.13","HBA2",-2.40568652976306,2.2278858730812,1.02446132055348,0.320616375339746,0.628548830998492,9.0122853646742,2.2278858730812,13.7117153233799,0.000987161627517073,0.143010998141459,0.646239795393984,2.2278858730812,0.324562258643937,0.573677195379189,1
"7818","ENSG00000100342.21","APOL1",-1.57236316910182,3.12936475473519,1.0192538594777,0.320657046637722,0.628554410460844,0.99985997088223,3.12936475473519,0.249801896884457,0.620809697273748,1,-1.70967526234831,3.12936475473519,2.40796370445756,0.13105903365466,1
"7819","ENSG00000172613.8","RAD9A",-1.61820972371195,2.10178529312949,1.01787179241279,0.320707920893211,0.628554410460844,-1.17369287369977,2.10178529312949,0.67565223026295,0.417263369714476,1,-0.0175016811128464,2.10178529312949,0.000358284591888988,0.985017546737502,1
"7820","ENSG00000233406.5","RP11-296A18.5",-1.09084105127428,3.34688172281282,1.01642892671349,0.32082589099131,0.628584484843532,0.265081350450927,3.34688172281282,0.0451164564147764,0.833118556453891,1,0.157450261749713,3.34688172281282,0.039585175947754,0.843535133061925,1
"7821","ENSG00000074319.13","TSG101",-1.16202667264733,6.7641649639873,1.01951416866537,0.320867526657867,0.628584484843532,0.143873712380599,6.7641649639873,0.009948191376599,0.921226854602388,1,-0.0256246310552232,6.7641649639873,0.000843607984973198,0.977024906159077,1
"7822","ENSG00000177479.20","ARIH2",-1.33093500630526,4.76578652159366,1.01773426558186,0.320871105391694,0.628584484843532,0.0700291060884701,4.76578652159366,0.00260372426573925,0.959631797681231,1,-0.471531677255156,4.76578652159366,0.278297369361365,0.601577038541661,1
"7823","ENSG00000178988.11","MRFAP1L1",-1.32495936359097,5.34128724987297,1.01749936567716,0.321118299232865,0.628894880091337,0.294315006398902,5.34128724987297,0.0447698280570004,0.83384773191515,1,-0.49524176140409,5.34128724987297,0.27210800829186,0.605721961115881,1
"7824","ENSG00000139132.16","FGD4",-1.43422041955654,3.45954913439761,1.01344906198014,0.321719509813142,0.629782233804566,1.49305762412909,3.45954913439761,1.03543292859911,0.316608576112697,1,-0.938674846506567,3.45954913439761,0.878515048556555,0.355712603313141,1
"7825","ENSG00000272888.7","CHASERR",-1.30535480859435,4.65253372797022,1.01346098599677,0.321819210136325,0.629852978835197,0.885438611587231,4.65253372797022,0.416529020033084,0.523392308588875,1,-0.0406343685807663,4.65253372797022,0.00164203318324938,0.967935159654617,1
"7826","ENSG00000170439.7","METTL7B",1.13893875619808,4.6748831014392,1.01432488174145,0.321893144849905,0.629852978835197,0.404171807435261,4.6748831014392,0.0884970092936906,0.768139197795555,1,0.799740320855272,4.6748831014392,0.860384324221449,0.361006163278238,1
"7827","ENSG00000148158.17","SNX30",-1.60344612556848,4.01187032650503,1.01193690196521,0.322074988640876,0.629901937679378,1.15081856639827,4.01187032650503,0.555075012620043,0.461753086015961,1,-0.419825296813662,4.01187032650503,0.161002745555923,0.690933614829198,1
"7828","ENSG00000112234.9","FBXL4",-1.31159546799549,4.13079077595732,1.0121924861453,0.322077106862783,0.629901937679378,1.42817777260069,4.13079077595732,1.31642873020726,0.259910812129188,1,-0.34219182904329,4.13079077595732,0.141442383419743,0.70938323670406,1
"7829","ENSG00000187742.15","SECISBP2",-1.27020175213832,4.99652019647083,1.01298507008259,0.32226845733358,0.629901937679378,-0.141742690543478,4.99652019647083,0.00954887023530087,0.922808384822213,1,0.079544361550163,4.99652019647083,0.00642079835577722,0.936668124893796,1
"7830","ENSG00000164347.18","GFM2",-1.54413281173974,2.94267645232871,1.00960109490901,0.322309398642645,0.629901937679378,0.304975823512058,2.94267645232871,0.0528919357568414,0.81952501343265,1,-0.560685080688396,2.94267645232871,0.298748992871135,0.588344617885121,1
"7831","ENSG00000064726.10","BTBD1",-1.25585648944122,3.47963350392589,1.00943735611499,0.322502594319427,0.63008519195052,-1.11217593077813,3.47963350392589,0.643138038322781,0.428435480848915,1,0.018709072959016,3.47963350392589,0.000397973238706734,0.984206523792016,1
"7832","ENSG00000186260.17","MRTFB",-1.07648836708575,3.5079882011564,1.00907061978554,0.322559450028297,0.63008519195052,1.24087168402504,3.5079882011564,1.04544153270382,0.314123429119873,1,-0.97935897478808,3.5079882011564,1.1592216477665,0.289568450386966,1
"7833","ENSG00000230457.3","PA2G4P4",-1.43949516699782,1.17419728028662,1.008862807404,0.322585598061502,0.63008519195052,-0.907909266799806,1.17419728028662,0.470031800698986,0.497827599537081,1,-0.463290367382211,1.17419728028662,0.28635382081355,0.596204526740136,1
"7834","ENSG00000168259.17","DNAJC7",-1.21899212941849,4.25818132131576,1.01005411855523,0.322668132009322,0.630104809543427,0.280215145255447,4.25818132131576,0.0460282710433766,0.831529031765075,1,0.138744504876326,4.25818132131576,0.0217609438581913,0.883679795440582,1
"7835","ENSG00000119965.13","C10orf88",-1.60717759089799,1.68830604111394,1.00680225653179,0.32268927405247,0.630104809543427,4.04138868065139,1.68830604111394,4.21569895594029,0.047732104334423,0.706149482286359,-2.27791448479552,1.68830604111394,3.64427431740979,0.0646486334678293,0.913806714689217
"7836","ENSG00000035862.12","TIMP2",-1.51640645003951,2.60296376851961,1.00678992298176,0.322708438392799,0.630104809543427,0.218194638863975,2.60296376851961,0.00230791603750038,0.961962744478973,1,0.83333845920368,2.60296376851961,0.649984755942406,0.425679815554116,1
"7837","ENSG00000198205.7","ZXDA",-2.51804971818057,1.19285246483313,1.01119169700363,0.322743838897332,0.630104809543427,3.67202093798255,1.19285246483313,2.38977792602717,0.132725719325968,1,-5.06167583675238,1.19285246483313,11.639189340245,0.00188254651342946,0.375349364645512
"7838","ENSG00000213523.12","SRA1",-1.08303639172303,5.70855835856542,1.01036603734416,0.322969305353256,0.630197747820548,0.0881100939884334,5.70855835856542,0.0049283052696995,0.94450554795433,1,-1.02780130223212,5.70855835856542,1.28290297038857,0.266460007788085,1
"7839","ENSG00000153130.18","SCOC",0.932913141367591,6.64830089269004,1.00952239028493,0.32327403880254,0.630460575729264,-0.18077362231978,6.64830089269004,0.0222579648224736,0.882428878593928,1,0.716577247534674,6.64830089269004,0.809591985434636,0.375604158657838,1
"7840","ENSG00000148908.15","RGS10",-1.21881165912808,4.15649056504515,1.00615428826262,0.323299086030106,0.630460575729264,0.274932977574649,4.15649056504515,0.046541233699029,0.830554710062759,1,0.0521419372801972,4.15649056504515,0.00317563427470733,0.955408756305074,1
"7841","ENSG00000127125.9","PPCS",0.955727209268258,7.23283917604608,1.00709630303216,0.323839587694728,0.631084956898178,-0.6861229190783,7.23283917604608,0.257537296896319,0.615627018641703,1,-0.673129902435398,7.23283917604608,0.672877246568077,0.418693141228786,1
"7842","ENSG00000105464.4","GRIN2D",-2.05010498195227,2.52524686405773,1.00395958679434,0.324132931535226,0.631174422747733,0.43285043268155,2.52524686405773,0.0605858127138226,0.807199397396251,1,-1.24302156633001,2.52524686405773,1.06276985920335,0.310582517010028,1
"7843","ENSG00000170889.14","RPS9",-0.563864659418533,9.90425730257761,1.0057814705826,0.324189249305513,0.631174422747733,0.217369704115933,9.90425730257761,0.0931745862587973,0.762353989068639,1,0.187447534125196,9.90425730257761,0.167066249457294,0.685727336800838,1
"7844","ENSG00000164091.12","WDR82",-1.16188134279675,4.90492616450241,1.00445102214948,0.324254176578811,0.631198566055209,2.18610286197172,4.90492616450241,2.47916116046721,0.125855361027373,1,-0.893197356298995,4.90492616450241,0.984689113174978,0.32898311577478,1
"7845","ENSG00000235045.2","RPL7P8",-1.03457647700047,3.06118331494334,1.00162770173657,0.324444149356002,0.631414058473573,-0.342833445723094,3.06118331494334,0.0863725779364103,0.770742991413008,1,0.0557840116863534,3.06118331494334,0.00577470909253035,0.939900169287557,1
"7846","ENSG00000156990.14","RPUSD3",-1.36990338928331,4.69832485111614,1.00356536194679,0.32445939062388,0.631414058473573,0.292239968690679,4.69832485111614,0.0433235099734083,0.836523580158849,1,-0.350004996179942,4.69832485111614,0.152369072893007,0.699038819567474,1
"7847","ENSG00000153207.16","AHCTF1",-1.31999608006589,4.1391411606669,1.00159440077608,0.324511458009805,0.631414058473573,1.37500632817161,4.1391411606669,1.03271870922451,0.317222776092317,1,-0.468904779146647,4.1391411606669,0.257692675350293,0.615227348232863,1
"7848","ENSG00000102575.13","ACP5",-1.90866541645599,2.50683730336432,0.999981995189185,0.32467837656287,0.631451669722369,0.105623873532531,2.50683730336432,0.00321179089297269,0.955151808980074,1,1.77648280293637,2.50683730336432,2.45904027545234,0.126504685309921,1
