,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19
ENSG00000198746.13,0.033532638,0.049144376,0.023678275,0.03838767,0.03309108,-0.064022325,0.03192747,0.10005914,-0.063078105,-0.10944568,0.05564656,-0.035671547,0.030600935,0.020018494,0.058307283,-0.06937526,0.047577646,0.047820024,0.04057168,-0.0037174302
ENSG00000131910.5,-0.0033913942,0.028408317,0.106152035,0.07079432,-0.07902728,-0.039298844,0.066387795,0.02502157,-0.039216094,0.029213224,-0.091502234,-0.08334319,-0.055909056,-0.039383437,-0.031883735,0.0016484414,0.07724043,0.0030166446,-0.040102325,0.03675171
ENSG00000175707.9,-0.050865512,0.011104836,0.08979779,0.13426942,0.07770029,-0.08745605,0.07853548,0.0006539242,-0.06704345,-0.08550446,-0.022359671,0.045853406,-0.00042542006,0.055271715,-0.05274229,-0.059340816,0.04262116,-0.040371567,0.05750975,-0.020577807
ENSG00000090020.11,-0.078723855,0.08159815,0.10832814,0.09905236,-0.03892932,0.06543091,0.024632197,-0.065311186,-0.052587412,-0.083223425,0.055668093,-0.0019788444,-0.054284357,0.007813111,0.044452414,-0.004239565,0.033153567,-0.08835271,0.07944814,0.034527443
ENSG00000126709.16,-0.16253299,-0.29249427,-0.019841496,-0.07585,-0.21512559,0.011227242,0.20459905,-0.13226303,0.025410114,-0.04586597,-0.021712441,0.071583726,-0.21043621,-0.0783799,0.17681542,0.040409934,-0.08267949,0.16767734,0.028878296,0.076239415
ENSG00000117758.14,-0.014509232,0.04397507,0.058479164,-0.021215692,-0.0986558,0.048261564,-0.031479865,0.052115466,-0.039048254,-0.063338496,-0.07034398,-0.003702177,0.044180434,-0.024461422,0.01852761,-0.04568713,-0.05315685,0.050708286,0.08700548,0.0190667
ENSG00000130775.16,0.026257886,0.04851691,-0.050679456,0.021916786,-0.013810603,-0.08809384,0.07557057,-0.04505753,-0.11561963,-0.0963571,-0.036361754,0.0017262147,0.1102965,0.05315568,0.1143792,0.016692825,0.08344917,-0.01762692,-0.049823865,0.05261089
ENSG00000117748.10,0.10343159,-0.010767117,-0.018257504,0.09398717,0.09912121,-0.14788342,-0.01752219,0.0147063015,-0.06087262,-0.052956983,0.0108563285,0.12878512,0.025116324,-0.07827092,-0.09390608,-0.27334133,0.082712166,-0.08780072,0.021222765,-0.023551986
ENSG00000130766.5,0.009250086,0.071327254,0.062580585,0.13067812,-0.031629324,0.027035788,-0.002737001,-0.030951254,-0.07196028,-0.07339504,-0.0715344,0.005032615,0.080903634,-0.107927114,0.037605137,-0.013688693,0.042447664,-0.10606066,-0.05532283,-0.031877704
ENSG00000116353.16,0.041058857,-0.082197376,-0.016237944,0.119349174,-0.062459502,-0.14718841,0.010951545,0.045199204,0.05880886,-0.14056534,0.054061096,0.016734434,0.017776763,-0.0058781705,0.13470125,0.051079527,-0.001112897,-0.07877855,0.096157275,-0.03935928
