Z_0,gene,abs_loading,factor,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19
,ENSG00000106211.10,0.23561217,Z_3,,,-0.23561217,,,,,,,,,,,,,,,,
,ENSG00000128309.17,0.23467964,Z_3,,,0.23467964,,,,,,,,,,,,,,,,
,ENSG00000164120.14,0.2344802,Z_3,,,-0.2344802,,,,,,,,,,,,,,,,
,ENSG00000128422.17,0.23151962,Z_3,,,-0.23151962,,,,,,,,,,,,,,,,
,ENSG00000100097.12,0.23137796,Z_3,,,-0.23137796,,,,,,,,,,,,,,,,
,ENSG00000285219.2,0.43332693,Z_4,,,,0.43332693,,,,,,,,,,,,,,,
,ENSG00000143416.21,0.3836455,Z_4,,,,-0.3836455,,,,,,,,,,,,,,,
,ENSG00000134057.15,0.350714,Z_4,,,,0.350714,,,,,,,,,,,,,,,
,ENSG00000137563.13,0.34873962,Z_4,,,,-0.34873962,,,,,,,,,,,,,,,
,ENSG00000152253.9,0.33302942,Z_4,,,,0.33302942,,,,,,,,,,,,,,,
,ENSG00000100994.12,0.3213789,Z_4,,,,0.3213789,,,,,,,,,,,,,,,
,ENSG00000174992.8,0.31175333,Z_4,,,,-0.31175333,,,,,,,,,,,,,,,
,ENSG00000176485.13,0.30941516,Z_4,,,,-0.30941516,,,,,,,,,,,,,,,
,ENSG00000166165.13,0.309245,Z_4,,,,-0.309245,,,,,,,,,,,,,,,
,ENSG00000124299.15,0.30742565,Z_4,,,,-0.30742565,,,,,,,,,,,,,,,
,ENSG00000148180.21,0.3041909,Z_4,,,,-0.3041909,,,,,,,,,,,,,,,
,ENSG00000134531.10,0.30118117,Z_4,,,,-0.30118117,,,,,,,,,,,,,,,
,ENSG00000232023.3,0.29865557,Z_4,,,,-0.29865557,,,,,,,,,,,,,,,
,ENSG00000104823.9,0.29724258,Z_4,,,,-0.29724258,,,,,,,,,,,,,,,
,ENSG00000117394.24,0.29721963,Z_4,,,,-0.29721963,,,,,,,,,,,,,,,
,ENSG00000104419.17,0.2971891,Z_4,,,,-0.2971891,,,,,,,,,,,,,,,
,ENSG00000164816.8,0.29586253,Z_4,,,,-0.29586253,,,,,,,,,,,,,,,
,ENSG00000148346.12,0.29328763,Z_4,,,,0.29328763,,,,,,,,,,,,,,,
,ENSG00000135926.15,0.28484827,Z_4,,,,-0.28484827,,,,,,,,,,,,,,,
,ENSG00000021355.13,0.28280878,Z_4,,,,-0.28280878,,,,,,,,,,,,,,,
,ENSG00000163235.16,0.28026578,Z_4,,,,-0.28026578,,,,,,,,,,,,,,,
,ENSG00000173221.14,0.27860343,Z_4,,,,-0.27860343,,,,,,,,,,,,,,,
,ENSG00000115641.19,0.27049586,Z_4,,,,-0.27049586,,,,,,,,,,,,,,,
,ENSG00000154380.17,0.26960436,Z_4,,,,0.26960436,,,,,,,,,,,,,,,
