,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19
ENSG00000178828.7,0.0778853,0.014969103,-0.034882322,-0.03503125,0.041184157,0.012176475,0.0060470547,0.026141856,-0.032760378,-0.0020032169,-0.08625454,-0.017880391,0.054009445,-0.02050447,-0.044765297,0.016543435,-0.05953457,-0.056532,0.078500815,-0.03489065
ENSG00000169914.6,0.005740086,-0.055875238,0.07694831,0.024586035,0.034948733,0.049680583,-0.036590893,0.087012246,-0.08207514,-0.050504424,-0.085612655,-0.016736241,-0.026635226,-0.0436927,0.010248859,0.018139254,-0.008307345,-0.018373728,0.0036376526,-0.017815676
ENSG00000188257.12,-0.040411673,-0.1351238,-0.0062379395,-0.24711064,-0.27114436,-0.07301183,0.1799155,-0.074271046,0.28595415,-0.17935464,-0.064516634,0.24305747,0.21729578,-0.2787488,-0.2841274,-0.1820882,-0.06778624,-0.22924706,-0.015306983,0.29792723
ENSG00000162543.6,-0.014230447,0.057766937,0.013794279,-0.07891694,-0.0639784,0.041942254,0.053780973,0.061358172,-0.032396417,-0.054273408,-0.077958725,-0.031826656,0.022148347,0.024522714,-0.06716045,-0.04046827,-0.069810145,0.040835164,0.041245766,-0.04247442
ENSG00000090432.7,-0.027943388,0.017205749,0.01986833,-0.0464622,0.067166865,-0.0048528784,-0.021011746,0.049228486,0.035911847,-0.072636314,-0.0627225,0.028391046,0.045701344,-0.0371485,0.014180597,-0.025886953,-0.033156563,-0.026460588,0.024901213,-0.08159171
ENSG00000158825.6,0.0802761,-0.042514164,-0.0012767409,-0.03368642,0.024392243,-0.058334712,-0.032852292,0.044614643,-0.058623046,0.0011997448,-0.00030401032,0.026718391,0.02187602,-0.04307099,-0.06742131,0.029621601,0.044773154,0.014530151,-0.026642302,-0.051716484
ENSG00000075151.23,-0.018244782,-0.1233038,0.14425491,0.0026083838,0.089214094,0.03939128,0.08540827,-0.04076442,-0.043104857,-0.057592586,-0.0084219035,-0.08243626,-0.048011832,0.059130844,0.05017153,-0.07294673,-0.04039527,0.04011932,-0.003987797,0.0145197995
ENSG00000117298.16,0.0025483214,-0.07258905,0.018871507,-0.07816646,0.006097579,-0.004985403,-0.047494553,0.071624614,-0.030629769,-0.0487764,0.0023987917,8.923315e-05,-0.04820191,-0.05795107,-0.044632174,0.02982722,-0.06462765,0.07411878,0.06687802,0.03513489
ENSG00000076864.20,0.09919886,-0.04257667,-0.035918545,-0.1364421,0.050126962,-0.0019347366,0.00045500242,0.010333798,-0.055649363,0.03167049,-0.05380929,-0.019524686,0.078804955,-0.082479544,-0.005508864,0.057921775,-0.07750745,-0.07272798,-0.07541449,0.020754714
ENSG00000090686.16,0.049356863,0.039975565,0.12239006,-0.13166083,0.046576202,0.06815809,0.05468109,-0.018443432,0.00068782887,0.010363857,-0.11065894,0.05940311,-0.04810241,-0.065312095,0.002651554,-0.037663657,0.033510737,-0.037457615,0.044132985,-0.048762366
ENSG00000184677.18,0.03482316,-0.041555542,0.014707582,0.0059894896,0.03179764,-0.045833573,0.010477237,0.04444588,-0.06431397,-0.05345622,-0.0015323476,0.015083541,0.02006245,-0.03591483,0.020532263,-0.036482994,0.04281473,-0.023743363,0.07089749,-0.017504532
